City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Whitianga,NZ,-36.8333,175.7,68.02,76,4,2.77,clear sky
80,Vaitape,PF,-16.5167,-151.75,79.59,75,22,5.12,light rain
81,Jamestown,US,42.097,-79.2353,36.09,34,0,4.0,clear sky
82,Ilulissat,GL,69.2167,-51.1,29.59,61,100,10.74,overcast clouds
83,Ponta Delgada,PT,37.7333,-25.6667,60.49,63,20,3.44,few clouds
84,Koumac,NC,-20.5667,164.2833,79.0,81,71,2.26,broken clouds
85,Avarua,CK,-21.2078,-159.775,78.85,83,40,8.05,light rain
86,Tsimlyansk,RU,47.6461,42.1019,26.35,90,63,14.14,broken clouds
87,Clyde River,CA,70.4692,-68.5914,-3.77,84,100,18.41,overcast clouds
88,Port Elizabeth,ZA,-33.918,25.5701,71.89,88,20,4.61,few clouds
89,San Vicente,AR,-26.6167,-54.1333,85.5,46,27,1.77,light rain
90,Plainview,US,40.7765,-73.4673,35.87,49,7,1.99,clear sky
91,Pevek,RU,69.7008,170.3133,19.58,81,100,14.7,overcast clouds
92,Chokurdakh,RU,70.6333,147.9167,-43.06,100,92,2.06,overcast clouds
93,Berlevag,NO,70.8578,29.0864,15.75,73,75,20.71,light snow
94,Cortez,US,37.3489,-108.5859,40.42,49,100,1.97,overcast clouds
95,Calama,CL,-22.4667,-68.9333,77.49,14,20,25.32,few clouds
96,Sao Filipe,CV,14.8961,-24.4956,75.36,61,61,6.96,broken clouds
97,Saskylakh,RU,71.9167,114.0833,-44.32,97,33,8.21,scattered clouds
98,Puerto Madryn,AR,-42.7692,-65.0385,73.72,26,6,9.13,clear sky
99,Chuy,UY,-33.6971,-53.4616,86.83,50,100,3.31,light rain
100,Brae,GB,60.3964,-1.353,39.11,82,100,27.2,overcast clouds
101,Abrud,RO,46.2667,23.0667,45.84,86,100,6.22,overcast clouds
102,Saint George,US,37.1041,-113.5841,54.07,50,68,5.01,broken clouds
103,Nishihara,JP,26.1842,127.7558,63.68,72,90,4.61,overcast clouds
104,Nome,US,64.5011,-165.4064,3.54,62,4,9.44,clear sky
105,Samarai,PG,-10.6167,150.6667,80.87,80,100,7.31,overcast clouds
106,Okhotsk,RU,59.3833,143.3,-14.42,83,2,15.64,clear sky
107,Sabang,ID,5.8933,95.3214,78.89,78,100,7.45,overcast clouds
108,Klaksvik,FO,62.2266,-6.589,36.52,64,66,45.1,broken clouds
109,Coihaique,CL,-45.5752,-72.0662,63.21,45,40,10.36,scattered clouds
110,Ciudad Bolivar,VE,8.1222,-63.5497,90.82,25,100,11.05,overcast clouds
111,Kaitangata,NZ,-46.2817,169.8464,58.6,96,100,2.64,overcast clouds
112,Cabo San Lucas,MX,22.8909,-109.9124,78.62,70,0,1.99,clear sky
113,Bukama,CD,-9.2,25.85,71.01,94,100,0.63,moderate rain
114,Gaspar,BR,-26.9314,-48.9589,83.05,81,100,1.48,moderate rain
115,Leipzig,DE,51.342,12.375,43.97,92,75,21.0,broken clouds
116,Torbay,CA,47.6666,-52.7314,23.58,92,90,20.71,snow
117,Codroipo,IT,45.96,12.9792,47.61,86,100,1.01,overcast clouds
