City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
599,Coro,VE,82.89,overcast clouds,11.4045,-69.6734,Federal
607,Thinadhoo,MV,81.07,light rain,0.5333,72.9333,
625,Bani,DO,82.74,scattered clouds,18.2833,-70.3333,Hospedaje Henriquez
635,Sola,VU,82.26,overcast clouds,-13.8833,167.55,Leumerus Bungalows
643,Gboko,NG,82.58,overcast clouds,7.3179,8.9951,Mavillah Apartment and Suites
644,Elesbao Veloso,BR,86.49,overcast clouds,-6.2019,-42.1403,Pousada Paraiso
650,Nhulunbuy,AU,83.01,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
654,Aracati,BR,85.44,overcast clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
662,Cururupu,BR,85.08,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
674,Areia Branca,BR,85.19,scattered clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
682,Kathu,TH,84.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
