City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Lac-Megantic,CA,2021-12-30 16:27:33,45.5834,-70.8823,33.21,94,100,2.64
67,Jacareacanga,BR,2021-12-30 16:27:33,-6.2222,-57.7528,82.42,76,100,2.46
68,Waitara,NZ,2021-12-30 16:27:33,-38.925,174.25,53.01,84,64,9.82
69,Pevek,RU,2021-12-30 16:27:34,69.7008,170.3133,-16.29,92,100,2.84
70,Pisco,PE,2021-12-30 16:27:34,-13.7,-76.2167,74.01,73,0,10.36
71,Opuwo,NA,2021-12-30 16:27:34,-18.0607,13.84,88.12,19,81,19.19
72,Mizdah,LY,2021-12-30 16:27:35,31.4451,12.9801,59.32,55,7,22.91
73,Abu Dhabi,AE,2021-12-30 16:22:36,24.4667,54.3667,75.31,75,0,1.01
74,Puri,IN,2021-12-30 16:27:35,19.8,85.85,70.32,70,0,10.22
75,Coquimbo,CL,2021-12-30 16:27:36,-29.9533,-71.3436,71.33,60,0,13.8
76,Te Anau,NZ,2021-12-30 16:27:36,-45.4167,167.7167,43.65,92,97,1.99
77,Punta Arenas,CL,2021-12-30 16:24:15,-53.15,-70.9167,57.31,51,40,28.77
78,Zyryanovsk,KZ,2021-12-30 16:27:36,49.7386,84.2719,-1.14,99,100,2.06
79,Rikitea,PF,2021-12-30 16:27:37,-23.1203,-134.9692,77.29,76,73,9.26
80,Emerald,AU,2021-12-30 16:22:54,-23.5333,148.1667,72.34,64,77,12.33
81,Dikson,RU,2021-12-30 16:27:37,73.5069,80.5464,-16.22,96,76,5.44
82,Saldanha,ZA,2021-12-30 16:27:38,-33.0117,17.9442,73.45,70,0,21.72
83,Margate,GB,2021-12-30 16:27:38,51.3813,1.3862,58.69,86,83,7.0
84,Fort Smith,US,2021-12-30 16:27:38,35.3859,-94.3986,55.44,94,90,1.99
85,Kontagora,NG,2021-12-30 16:27:39,10.3999,5.4695,92.73,12,54,4.63
86,Sarahan,IN,2021-12-30 16:27:39,31.5167,77.8,27.88,36,35,11.18
87,Cooma,AU,2021-12-30 16:27:39,-36.2333,149.1333,51.57,87,13,3.44
88,Teeli,RU,2021-12-30 16:27:40,51.0333,90.2333,0.5,98,100,1.19
89,Codrington,AU,2021-12-30 16:25:22,-38.2667,141.9667,60.24,49,0,4.14
90,Henties Bay,NA,2021-12-30 16:27:40,-22.116,14.2845,65.86,74,1,15.41
91,Ribeira Grande,PT,2021-12-30 16:28:41,38.5167,-28.7,59.4,88,75,19.57
92,Atikokan,CA,2021-12-30 16:28:41,48.7555,-91.6216,-2.22,89,95,2.39
93,Boysun,UZ,2021-12-30 16:28:41,38.2061,67.1986,42.64,40,100,5.35
94,Pochutla,MX,2021-12-30 16:28:42,15.7432,-96.4661,84.81,41,0,3.0
95,Nabinagar,BD,2021-12-30 16:28:42,23.8917,90.9733,71.67,54,0,4.07
96,Dicabisagan,PH,2021-12-30 16:28:43,17.0818,122.4157,72.25,81,66,8.7
97,Ninh Binh,VN,2021-12-30 16:28:43,20.2539,105.975,62.37,67,79,1.88
98,Faanui,PF,2021-12-30 16:28:43,-16.4833,-151.75,80.65,74,58,16.49
99,Nikolskoye,RU,2021-12-30 16:28:44,59.7035,30.7861,16.39,94,85,8.41
100,Cidreira,BR,2021-12-30 16:28:44,-30.1811,-50.2056,76.96,73,24,19.51
101,Vaini,TO,2021-12-30 16:28:44,-21.2,-175.2,77.16,94,40,4.61
102,Otkaznoye,RU,2021-12-30 16:28:45,44.3264,43.8608,35.64,82,100,4.03
103,Barabinsk,RU,2021-12-30 16:28:45,55.3571,78.357,-10.01,94,7,10.33
104,Kachug,RU,2021-12-30 16:28:45,53.9606,105.8817,-2.92,91,100,0.45
105,Ishigaki,JP,2021-12-30 16:28:46,24.3448,124.1572,65.64,69,100,21.85
106,Hithadhoo,MV,2021-12-30 16:28:46,-0.6,73.0833,82.35,72,95,13.78
107,Torbay,CA,2021-12-30 16:28:47,47.6666,-52.7314,35.58,87,75,1.01
108,Pangai,TO,2021-12-30 16:28:47,-19.8,-174.35,81.45,75,94,10.6
109,Fortuna,US,2021-12-30 16:28:47,40.5982,-124.1573,39.09,95,20,3.0
110,La Seyne-Sur-Mer,FR,2021-12-30 16:28:48,43.0982,5.8847,62.53,85,38,3.62
111,Kalmunai,LK,2021-12-30 16:28:48,7.4167,81.8167,78.31,82,14,6.64
112,Hobart,AU,2021-12-30 16:28:48,-42.8794,147.3294,58.05,65,89,1.99
113,Port Lincoln,AU,2021-12-30 16:28:49,-34.7333,135.8667,64.0,81,1,7.18
114,Lumberton,US,2021-12-30 16:25:08,34.6182,-79.0086,75.94,80,100,13.31
115,Vila Velha,BR,2021-12-30 16:28:49,-20.3297,-40.2925,84.15,77,20,7.0
116,Katsuura,JP,2021-12-30 16:28:50,35.1333,140.3,42.12,60,3,26.89
117,San Jeronimo,PE,2021-12-30 16:28:50,-11.9472,-75.2829,55.6,68,99,3.38
118,Clive,US,2021-12-30 16:28:50,41.603,-93.7241,25.34,92,90,5.99
